Station,,,,,,Ground Level outside Station,Mean,Annual Entry + Exit million,Line(s)[*],Opened[3],Usage[5]
Farringdon,531585,181844,51.5201957,-0.104828651,1,11,106.5,32664,Metropolitan[b],January 10 1863,18.84
Feltham,510601,173298,51.44787922,-0.409810093,6,0,0,0,Circle,resited 23 December 1865,
Fenchurch Street,533434,180932,51.51156672,-0.078539745,1,0,0,0,Hammersmith & City,,
Finchley Central,525232,190664,51.60090327,-0.193206201,4,87,178.5,7805,Northern,April 14 1940,5.05
Finchley Road,526293,184703,51.54709622,-0.180036141,2,52,148.7,14945,Metropolitan,June 30 1879,10.18
Finchley Road and Frognal,526035,185033,51.55011952,-0.183636782,2,0,0,0,Jubilee[f],,
Finsbury Park,531385,186784,51.56463546,-0.105867061,2,32,123.6875,35854,Piccadilly,December 15 1906,26.3
Forest Gate,540447,185322,51.54931612,0.024203511,3,0,0,0,Victoria,,
Forest Hill,535398,172943,51.43930832,-0.053314119,3,0,0,0,,,
Fulham Broadway,525402,177244,51.48026093,-0.195529766,2,4,98.7,16078,District,March 1 1880,9.63
Fulwell,514832,171841,51.43394261,-0.349424141,6,0,0,0,,,
Gallions Reach,543873,180935,51.50903413,0.071789802,3,0,0,0,DLR (Beckton Branch),March 28 1994,No Data
Gants Hill,543266,188432,51.57655294,0.066098526,4,25,108.53,7316,Central,December 14 1947,5.258
Gidea Park,552941,189306,51.58186572,0.205991411,6,0,0,0,,,
Gipsy Hill,533321,171237,51.42446953,-0.083820787,3,0,0,0,,,
Gloucester Road,526196,178848,51.49449958,-0.183529157,1,7,93.665,20941,District[c],October 1 1868,13.734
Golders Green,525199,187471,51.57221556,-0.194820132,3,70,173.1,11709,Northern,June 22 1907,7.898
Goldhawk Road,523131,179616,51.50207699,-0.227389601,2,5,111,2496,Hammersmith & City[m],April 1 1914,1.578
Goodge Street,529505,181837,51.52061313,-0.134793279,1,27,98.08,13797,Northern,June 22 1907,8.699
Goodmayes,546462,187369,51.56618097,0.11174408,4,0,0,0,,,
Gordon Hill,531889,197799,51.66350225,-0.094458844,5,55,148.8,0,,,
Gospel Oak,528263,185677,51.55540531,-0.151286611,2,0,0,0,,,
Grange Hill,544963,192590,51.61348041,0.09228697,4,0,0,648,Central,November 21 1948,0.441
Grange Park,531753,195472,51.64262309,-0.097299974,5,0,0,0,,,
Great Portland Street,528861,182174,51.52378881,-0.143947013,1,29,121.4,10687,Metropolitan[b],January 10 1863,6.884
Green Park,529012,180283,51.5067605,-0.142463169,1,18,91.14,53304,Piccadilly,December 15 1906,28.259
Greenford,514808,183861,51.54198011,-0.345864323,4,22,132.2,5335,Central,June 30 1947,3.495
Greenwich,537956,177267,51.47754767,-0.014848686,4,0,0,0,DLR (Lewisham Branch),November 11 1999,No Data
Grove Park,540702,172099,51.43043264,0.022612885,4,0,0,0,,,
Gunnersbury,519843,178401,51.49186344,-0.275149734,3,10,106,5830,District,June 1 1877,3.824
Hackbridge,528582,165929,51.37786092,-0.153864832,4,0,0,0,,,
Hackney Central,534922,184943,51.54725745,-0.055575093,2,0,0,0,,,
Hackney Downs,534598,185137,51.54907809,-0.060170685,2,0,0,0,,,
Hackney Wick,537036,184588,51.54355841,-0.025245085,2,0,0,0,,,
Hadley Wood,526197,198199,51.66840289,-0.176566732,6,0,0,0,,,
Haggerston,533560,183953,51.53868474,-0.075580841,2,0,0,0,,,
Hainault,545124,191411,51.60284531,0.094122987,4,36,141.2,3737,Central,May 31 1948,2.525
Hammersmith (District),523474,178483,51.4918198,-0.222846527,2,5,104.4,0,District,September 9 1874,27.435
Hammersmith (Met.),523346,178665,51.49348338,-0.224625755,2,5,100.4,0,Hammersmith & City[m],June 13 1864,8.6
Hampstead,526408,185757,51.55654262,-0.178000138,2,108,149.475,6697,Northern,June 22 1907,4.732
Hampstead Heath,527344,185631,51.55519994,-0.164551761,3,0,0,0,,,
Hampton,513299,169797,51.4158796,-0.372120876,6,0,0,0,,,
Hampton Court,515376,168332,51.40229392,-0.342742779,6,0,0,0,,,
Hampton Wick,517407,169752,51.41464008,-0.313089232,6,0,0,0,,,
Hanger Lane,518506,182621,51.53007207,-0.292981732,3,40,131.9,4587,Central,June 30 1947,3.151
Hanwell,515426,180560,51.512186,-0.338037476,4,0,0,0,,,
Harlesden,520952,183367,51.53625836,-0.257481259,3,38,131.8,3201,Bakerloo,April 16 1917,2.23
Harold Wood,554858,190626,51.59320219,0.234218507,6,0,0,0,,,
Harringay,531395,188200,51.57735792,-0.105193824,3,0,0,0,,,
Harringay Green Lanes,531880,188189,51.5771459,-0.098202963,3,0,0,0,,,
Harrow and Wealdstone,515486,189508,51.59259467,-0.334238252,5,52,154.2,0,Bakerloo,April 16 1917,3.893
Harrow-on-the-Hill,515329,188035,51.57938816,-0.336987088,5,69,167.1,15213,Metropolitan,August 2 1880,8.591
Hatch End,513024,191370,51.60982855,-0.369164342,6,0,0,0,,,
Hatton Cross,509614,175369,51.46668536,-0.42336617,5,22,113.4,4868,Piccadilly,July 19 1975,2.715
Haydons Road,526012,171161,51.42545734,-0.188914978,3,0,0,0,,,
Hayes,540003,165993,51.37573671,0.010157018,5,0,0,0,,,
Hayes and Harlington,509717,179417,51.50304913,-0.420627499,5,0,0,0,,,
Headstone Lane,513892,190574,51.60249967,-0.356893078,5,0,0,0,,,
Heathrow Terminal 4,507939,174565,51.45978048,-0.447715199,6,23,112.9,2963,Piccadilly,April 12 1986,1.768
Heathrow Terminal 5,504934,175642,51.47002549,-0.490633109,6,23,110.3,0,Piccadilly,March 27 2008,2.982
Heathrow Terminals 1 2 3,507587,175838,51.47128946,-0.452392831,6,23,109.6,0,Piccadilly,December 16 1977,8.269
Hendon Central,522959,188631,51.58313307,-0.22671971,3,64,161.5,8472,Northern,November 19 1923,6.076
Herne Hill,531934,174486,51.45399138,-0.102548518,4,0,0,0,,,
Heron Quays,537386,180127,51.50338657,-0.021939127,2,0,0,0,DLR (Lewisham Branch),August 31 1987,No Data
High Barnet,525027,196310,51.65168828,-0.194150928,5,111,198.4,4165,Northern,April 14 1940,2.731
High Street Kensington,525622,179527,51.50072947,-0.191551653,1,13,107.3,19873,,,
Highams Park,538581,191841,51.60835599,-0.000120847,4,0,0,0,,,
Highbury and Islington,531562,184770,51.54649552,-0.104067721,2,34,117.855,0,Victoria,September 1 1968,14.327
Highgate,528503,188158,51.57764663,-0.146920433,3,100,162.67,7031,Northern,January 19 1941,4.968
Hillingdon,507567,185015,51.55377757,-0.449883572,6,36,136.7,2050,Metropolitan,December 10 1923,1.333
Hither Green,538997,174497,51.45240172,-0.000956523,3,0,0,0,,,
Holborn,530553,181488,51.51723575,-0.119826098,1,23,90.925,54629,Central,December 15 1906,30.098
Holland Park,524564,180215,51.50714651,-0.206543371,2,14,95.21,5634,Central,July 30 1900,3.505
Holloway Road,530930,185457,51.55281612,-0.112921276,2,29,115.4,12074,Piccadilly,December 15 1906,7.672
Homerton,536108,184901,51.54659545,-0.038497928,2,24,118.2,0,,,
Honor Oak Park,536002,174221,51.45064825,-0.044138732,3,0,0,0,,,
Hornchurch,553931,186274,51.55435508,0.218941418,6,0,0,3218,District,June 2 1902,1.949
Hornsey,530911,189202,51.58647486,-0.111801206,3,0,0,0,,,
Hounslow,513902,174998,51.46250486,-0.361781864,5,0,0,0,,,
Hounslow Central,513592,175928,51.47092581,-0.365943734,4,20,124.9,5505,Piccadilly[l],April 1 1886,3.799
Hounslow East,514327,176254,51.47370794,-0.355260926,4,20,125.8,5299,Piccadilly[l],May 2 1909,4.022
Hounslow West,512215,176140,51.47310576,-0.385693233,5,23,117.7,4539,Piccadilly[l],July 21 1884,3.101
Hoxton,533582,183142,51.53139162,-0.075571233,1,0,0,0,,,
Hyde Park Corner,528330,179801,51.50258403,-0.152459709,1,16,88.91,8426,Piccadilly,December 15 1906,6.189
Ickenham,508127,185811,51.56082511,-0.441565089,6,43,138.1,1801,Metropolitan,September 25 1905,1.009
Ilford,543501,186501,51.55914223,0.068699614,4,0,0,0,Piccadilly[k],,
Imperial Wharf,526299,176674,51.47493895,-0.182823108,2,0,0,0,,,
Island Gardens,538228,178432,51.48795009,-0.010478902,2,0,0,0,DLR (Lewisham Branch),August 31 1987,No Data
Isleworth,515570,176430,51.47503746,-0.337314369,4,0,0,0,,,
Kenley,532400,160100,51.32460032,-0.101205363,6,0,0,0,,,
Kennington,531660,178337,51.48866247,-0.105056213,2,3,85.735,6276,Northern,December 18 1890,4.125
Kensal Green,523241,182784,51.53052424,-0.22469897,2,42,135.4,3428,Bakerloo,October 1 1916,2.185
Kensal Rise,523501,183201,51.53421509,-0.220806564,2,0,0,0,,,
Kensington (Olympia),524324,179178,51.49787972,-0.210364839,2,4,102.1,1545,District,July 1 1864,1.275
Kent House,535999,170000,51.41271766,-0.045801176,4,0,0,0,,,
Kentish Town,529029,185096,51.55000954,-0.140456844,2,37,114.385,10166,Northern,June 22 1907,7.279
Kentish Town West,528603,184700,51.54654799,-0.146741991,2,0,0,0,,,
Kenton,516833,188304,51.58149632,-0.315202437,4,56,149.4,2462,Bakerloo,April 16 1917,1.677
Kew Bridge,518898,178172,51.49000465,-0.288832094,3,0,0,0,,,
Kew Gardens,519173,176708,51.47678917,-0.285366614,3,8,106,4621,District,June 1 1877,3.224
Kidbrooke,540999,175697,51.46269018,0.028314632,3,0,0,0,,,
Kilburn,524589,184644,51.54694446,-0.2046183,2,45,152.2,12582,Jubilee[e],November 24 1879,7.852
Kilburn High Road,525553,183591,51.53726776,-0.19109869,2,0,0,0,,,
Kilburn Park,525361,183349,51.53513556,-0.193951642,2,27,119.52,4956,Bakerloo,January 31 1915,4.068
King George V,543231,180135,51.5020086,0.062220619,3,0,0,0,DLR (Woolwich Arsenal Branch),December 2 2005,No Data
King's Cross,530312,182991,51.53079821,-0.122742007,1,0,0,0,,,
Kings Cross St. Pancras,530236,182935,51.53031248,-0.123857716,1,17,98.07125,0,Metropolitan[b],January 10 1863,66.153
Kingsbury,519361,188739,51.58487655,-0.278587177,4,43,138.3,5084,Jubilee[e],December 10 1932,3.333
Kingston,518244,169549,51.4126418,-0.301126663,6,0,0,0,Northern,Metropolitan line,
Knightsbridge,527765,179650,51.50135492,-0.160650081,1,9,86.72,30352,Piccadilly,December 15 1906,20.162
Knockholt,548499,162896,51.34575192,0.130845395,6,0,0,0,,,
Ladbroke Grove,524284,181328,51.5172107,-0.210183763,2,14,119.4,6934,Hammersmith & City[m],June 13 1864,5.121
Ladywell,537716,174884,51.45619214,-0.019230011,3,0,0,0,Circle,,
Lambeth North,531165,179489,51.49912996,-0.111753857,1,3,86.475,4333,Bakerloo,March 10 1906,3.31
Lancaster Gate,526711,180796,51.51189096,-0.17541552,1,18,102.47,8745,Central,July 30 1900,6.482
Langdon Park,537807,181863,51.51888394,-0.015199389,2,0,0,0,DLR (Stratford Branch),December 9 2007,No Data
